Category ID;Active (0/1);Name *;Parent category;Root category (0/1);Description
1;1;Kosiarki, traktorki, roboty koszące;Home;0;Wszystkie Kosiarki, traktorki, roboty koszące dostępne w naszym sklepie.;
2;1;Kosiarki akumulatorowe;Kosiarki, traktorki, roboty koszące;0;Wszystkie Kosiarki akumulatorowe dostępne w naszym sklepie.;
2;1;Kosiarki elektryczne;Kosiarki, traktorki, roboty koszące;0;Wszystkie Kosiarki elektryczne dostępne w naszym sklepie.;
2;1;Kosiarki spalinowe;Kosiarki, traktorki, roboty koszące;0;Wszystkie Kosiarki spalinowe dostępne w naszym sklepie.;
2;1;Traktorki ogrodowe;Kosiarki, traktorki, roboty koszące;0;Wszystkie Traktorki ogrodowe dostępne w naszym sklepie.;
2;1;Roboty koszące;Kosiarki, traktorki, roboty koszące;0;Wszystkie Roboty koszące dostępne w naszym sklepie.;
2;1;Kosiarki ręczne;Kosiarki, traktorki, roboty koszące;0;Wszystkie Kosiarki ręczne dostępne w naszym sklepie.;
2;1;Noże i piasty do kosiarek;Kosiarki, traktorki, roboty koszące;0;Wszystkie Noże i piasty do kosiarek dostępne w naszym sklepie.;
2;1;Akcesoria do traktorków i kosiarek;Kosiarki, traktorki, roboty koszące;0;Wszystkie Akcesoria do traktorków i kosiarek dostępne w naszym sklepie.;
2;1;Kosy, podkaszarki;Home;0;Wszystkie Kosy, podkaszarki dostępne w naszym sklepie.;
3;1;Kosy i podkaszarki akumulatorowe;Kosy, podkaszarki;0;Wszystkie Kosy i podkaszarki akumulatorowe dostępne w naszym sklepie.;
3;1;Kosy i podkaszarki elektryczne;Kosy, podkaszarki;0;Wszystkie Kosy i podkaszarki elektryczne dostępne w naszym sklepie.;
3;1;Kosy i podkaszarki spalinowe;Kosy, podkaszarki;0;Wszystkie Kosy i podkaszarki spalinowe dostępne w naszym sklepie.;
3;1;Żyłki, głowice, tarcze;Kosy, podkaszarki;0;Wszystkie Żyłki, głowice, tarcze dostępne w naszym sklepie.;
3;1;Akcesoria do kos i podkaszarek;Kosy, podkaszarki;0;Wszystkie Akcesoria do kos i podkaszarek dostępne w naszym sklepie.;
3;1;Wertykulatory, glebogryzarki;Home;0;Wszystkie Wertykulatory, glebogryzarki dostępne w naszym sklepie.;
4;1;Aeratory, wertykulatory;Wertykulatory, glebogryzarki;0;Wszystkie Aeratory, wertykulatory dostępne w naszym sklepie.;
4;1;Glebogryzarki, wiertnice, świdry do ziemi;Wertykulatory, glebogryzarki;0;Wszystkie Glebogryzarki, wiertnice, świdry do ziemi dostępne w naszym sklepie.;
4;1;Piły, pilarki, łuparki;Home;0;Wszystkie Piły, pilarki, łuparki dostępne w naszym sklepie.;
5;1;Piły łańcuchowe elektryczne;Piły, pilarki, łuparki;0;Wszystkie Piły łańcuchowe elektryczne dostępne w naszym sklepie.;
5;1;Piły łańcuchowe spalinowe;Piły, pilarki, łuparki;0;Wszystkie Piły łańcuchowe spalinowe dostępne w naszym sklepie.;
5;1;Piły szablaste;Piły, pilarki, łuparki;0;Wszystkie Piły szablaste dostępne w naszym sklepie.;
5;1;Łuparki i stojaki do drewna;Piły, pilarki, łuparki;0;Wszystkie Łuparki i stojaki do drewna dostępne w naszym sklepie.;
5;1;Łańcuchy, pilniki, prowadnice do pilarek;Piły, pilarki, łuparki;0;Wszystkie Łańcuchy, pilniki, prowadnice do pilarek dostępne w naszym sklepie.;
5;1;Nożyce ogrodowe;Home;0;Wszystkie Nożyce ogrodowe dostępne w naszym sklepie.;
6;1;Nożyce do żywopłotu;Nożyce ogrodowe;0;Wszystkie Nożyce do żywopłotu dostępne w naszym sklepie.;
6;1;Nożyce do trawy i krzewów;Nożyce ogrodowe;0;Wszystkie Nożyce do trawy i krzewów dostępne w naszym sklepie.;
6;1;Akcesoria do nożyc;Nożyce ogrodowe;0;Wszystkie Akcesoria do nożyc dostępne w naszym sklepie.;
6;1;Oleje, filtry, świece zapłonowe;Home;0;Wszystkie Oleje, filtry, świece zapłonowe dostępne w naszym sklepie.;
7;1;Oleje, smary;Oleje, filtry, świece zapłonowe;0;Wszystkie Oleje, smary dostępne w naszym sklepie.;
7;1;Kanistry, lejki, pojemniki do mieszanek;Oleje, filtry, świece zapłonowe;0;Wszystkie Kanistry, lejki, pojemniki do mieszanek dostępne w naszym sklepie.;
7;1;Świece zapłonowe, klucze;Oleje, filtry, świece zapłonowe;0;Wszystkie Świece zapłonowe, klucze dostępne w naszym sklepie.;
7;1;Filtry do maszyn;Oleje, filtry, świece zapłonowe;0;Wszystkie Filtry do maszyn dostępne w naszym sklepie.;
7;1;Przedłużacze, ładowarki, akumulatory;Home;0;Wszystkie Przedłużacze, ładowarki, akumulatory dostępne w naszym sklepie.;
8;1;Przedłużacze ogrodowe i warsztatowe;Przedłużacze, ładowarki, akumulatory;0;Wszystkie Przedłużacze ogrodowe i warsztatowe dostępne w naszym sklepie.;
8;1;Ładowarki i akumulatory do maszyn;Przedłużacze, ładowarki, akumulatory;0;Wszystkie Ładowarki i akumulatory do maszyn dostępne w naszym sklepie.;
